Price,Close,High,Low,Open,Volume
Ticker,NVDA,NVDA,NVDA,NVDA,NVDA
Datetime,,,,,
2026-03-02 14:30:00+00:00,180.5,181.3800048828125,174.63999938964844,174.8000030517578,45254437
2026-03-02 15:30:00+00:00,180.9199981689453,181.80999755859375,180.00999450683594,180.49000549316406,49699069
2026-03-02 16:30:00+00:00,183.05999755859375,183.4600067138672,180.83999633789062,180.93499755859375,0
2026-03-02 17:30:00+00:00,182.44509887695312,183.05599975585938,182.2100067138672,183.05499267578125,10237938
2026-03-02 18:30:00+00:00,182.64500427246094,182.91000366210938,181.9499969482422,182.4499969482422,55594090
2026-03-02 19:30:00+00:00,182.14999389648438,183.0500030517578,181.64500427246094,182.64500427246094,16411672
2026-03-02 20:30:00+00:00,182.35000610351562,182.8300018310547,181.99000549316406,182.1699981689453,15836427
2026-03-03 14:30:00+00:00,177.77000427246094,180.52999877929688,177.72000122070312,178.4774932861328,50710924
2026-03-03 15:30:00+00:00,179.31500244140625,180.0050048828125,176.9199981689453,177.75999450683594,31236634
2026-03-03 16:30:00+00:00,180.10499572753906,180.64999389648438,178.94000244140625,179.31500244140625,19302177
2026-03-03 17:30:00+00:00,180.14999389648438,180.39999389648438,178.97999572753906,180.10000610351562,14349165
2026-03-03 18:30:00+00:00,179.5500030517578,180.89999389648438,179.44000244140625,180.1699981689453,13694732
2026-03-03 19:30:00+00:00,180.2050018310547,180.8699951171875,179.14999389648438,179.55999755859375,17047547
2026-03-03 20:30:00+00:00,180.0800018310547,180.56500244140625,179.89999389648438,180.1999969482422,12169048
2026-03-04 14:30:00+00:00,183.47000122070312,183.5500030517578,180.05999755859375,180.3699951171875,49537596
2026-03-04 15:30:00+00:00,182.39999389648438,183.63999938964844,181.8000030517578,183.47999572753906,22335669
2026-03-04 16:30:00+00:00,182.48500061035156,183.14500427246094,182.32080078125,182.39999389648438,14459566
2026-03-04 17:30:00+00:00,183.04989624023438,183.36000061035156,182.19000244140625,182.49000549316406,13044050
2026-03-04 18:30:00+00:00,184.30499267578125,184.6999969482422,182.97999572753906,183.0399932861328,21891737
2026-03-04 19:30:00+00:00,183.07000732421875,184.33999633789062,182.60000610351562,184.30499267578125,17483899
2026-03-04 20:30:00+00:00,182.91000366210938,183.33999633789062,182.60000610351562,183.0749969482422,17451882
2026-03-05 14:30:00+00:00,181.69500732421875,182.7899932861328,180.80999755859375,181.1699981689453,39187846
2026-03-05 15:30:00+00:00,182.77999877929688,184.05999755859375,180.85499572753906,181.6999969482422,26866863
2026-03-05 16:30:00+00:00,181.07000732421875,183.8300018310547,181.07000732421875,182.8000030517578,17633964
2026-03-05 17:30:00+00:00,178.87989807128906,181.22000122070312,177.88999938964844,181.07000732421875,36802356
2026-03-05 18:30:00+00:00,180.72999572753906,181.02000427246094,178.8000030517578,178.8699951171875,17972462
2026-03-05 19:30:00+00:00,181.875,182.38999938964844,179.88999938964844,180.72999572753906,20068545
2026-03-05 20:30:00+00:00,183.3300018310547,183.4199981689453,181.70010375976562,181.8800048828125,20535969
2026-03-06 14:30:00+00:00,181.82009887695312,182.756103515625,179.63999938964844,179.83999633789062,42314271
2026-03-06 15:30:00+00:00,181.7100067138672,182.40499877929688,180.89999389648438,181.82000732421875,20012304
2026-03-06 16:30:00+00:00,181.13999938964844,182.49000549316406,181.02999877929688,181.718505859375,17253066
2026-03-06 17:30:00+00:00,181.46009826660156,181.8249969482422,180.52000427246094,181.13999938964844,14392829
2026-03-06 18:30:00+00:00,180.52999877929688,181.7698974609375,180.19000244140625,181.4499969482422,15056438
2026-03-06 19:30:00+00:00,177.1300048828125,180.77000427246094,176.9499969482422,180.52000427246094,25886766
2026-03-06 20:30:00+00:00,177.69000244140625,178.37989807128906,176.82009887695312,177.13999938964844,26255790
2026-03-09 13:30:00+00:00,178.11000061035156,178.50999450683594,175.55999755859375,176.8300018310547,43221028
2026-03-09 14:30:00+00:00,179.18499755859375,179.47999572753906,177.99000549316406,178.08999633789062,19919743
2026-03-09 15:30:00+00:00,180.49000549316406,180.62730407714844,178.8000030517578,179.16000366210938,16780073
2026-03-09 16:30:00+00:00,179.38999938964844,180.91000366210938,179.17999267578125,180.49000549316406,15945158
2026-03-09 17:30:00+00:00,179.91000366210938,180.22000122070312,179.02000427246094,179.39999389648438,12583605
2026-03-09 18:30:00+00:00,182.02609252929688,182.07000732421875,179.2899932861328,179.89999389648438,21985315
2026-03-09 19:30:00+00:00,182.63999938964844,182.91000366210938,181.4499969482422,182.02999877929688,22182613
2026-03-10 13:30:00+00:00,184.0449981689453,184.22500610351562,182.01010131835938,182.39999389648438,36549411
2026-03-10 14:30:00+00:00,185.9499969482422,186.44000244140625,184.00999450683594,184.0399932861328,31283932
2026-03-10 15:30:00+00:00,185.3076934814453,186.1199951171875,185.04969787597656,185.97000122070312,19945381
2026-03-10 16:30:00+00:00,186.13499450683594,186.22500610351562,185.22999572753906,185.32000732421875,13122732
2026-03-10 17:30:00+00:00,184.889892578125,186.1300048828125,184.10000610351562,186.1300048828125,17940859
2026-03-10 18:30:00+00:00,184.39999389648438,185.27000427246094,184.02000427246094,184.88999938964844,17479430
